"cod_unico","hda_nombre","NDVI","NBR","Alerta_Combustion"
"CA011655000003",NA,NA,NA,NA
"CA011655000001",NA,NA,NA,NA
"CA011657000002",NA,NA,NA,NA
"CA011657000003",NA,NA,NA,NA
"CA01165700001A",NA,NA,NA,NA
"CA010301000929",NA,NA,NA,NA
"CA010106000704",NA,NA,NA,NA
"CA01211800002E",NA,NA,NA,NA
"CA01014100116A",NA,NA,NA,NA
"CA011655000008",NA,NA,NA,NA
"CA01211800002B",NA,NA,NA,NA
"CA01030300027D",NA,NA,NA,NA
"CA010197000027",NA,NA,NA,NA
"CA01035500407A",NA,NA,NA,NA
"CA010302000901",NA,NA,NA,NA
"CA010963000120",NA,NA,NA,NA
"CA010963000070",NA,NA,NA,NA
"CA010963000080",NA,NA,NA,NA
"CA010963000090",NA,NA,NA,NA
"CA010963000130",NA,NA,NA,NA
"CA010963000110",NA,NA,NA,NA
"CA010625000009",NA,NA,NA,NA
"CA010251000006",NA,NA,NA,NA
"CA010106000702",NA,NA,NA,NA
"CA011491000007",NA,NA,NA,NA
"CA011491000007",NA,NA,NA,NA
"CA010003000061",NA,NA,NA,NA
"CA010304000102",NA,NA,NA,NA
"CA01022400010A",NA,NA,NA,NA
"CA01022400005C",NA,NA,NA,NA
"CA010250000015",NA,NA,NA,NA
"CA01030300017T",NA,NA,NA,NA
"CA01030100930B",NA,NA,NA,NA
"CA011195000001",NA,NA,NA,NA
"CA012279000003",NA,NA,NA,NA
"CA01227900004C",NA,NA,NA,NA
"CA01030100929Y",NA,NA,NA,NA
"CA01030100930A",NA,NA,NA,NA
"CA01030100930A",NA,NA,NA,NA
"CA01000300069C",NA,NA,NA,NA
"CA01030400118T",NA,NA,NA,NA
"CA01030300027B",NA,NA,NA,NA
"CA011616000002",NA,NA,NA,NA
"CA011616000001",NA,NA,NA,NA
"CA010460000002",NA,NA,NA,NA
"CA010304000124",NA,NA,NA,NA
"CA01146800002C",NA,NA,NA,NA
"CA011737000002",NA,NA,NA,NA
"CA011737000003",NA,NA,NA,NA
"CA011737000001",NA,NA,NA,NA
"CA011737000004",NA,NA,NA,NA
"CA01019700007A",NA,NA,NA,NA
"CA01030300007A",NA,NA,NA,NA
"CA010303000004",NA,NA,NA,NA
"CA010303000003",NA,NA,NA,NA
"CA011539000020",NA,NA,NA,NA
"CA01077300063A",NA,NA,NA,NA
"CA010304000123",NA,NA,NA,NA
"CA010301000926",NA,NA,NA,NA
"CA010451000009",NA,NA,NA,NA
"CA011315000005",NA,NA,NA,NA
"CA010324000003",NA,NA,NA,NA
"CA01130700017A",NA,0.834377912711309,0.67561980555606,"BAJA (Cultivo Sano/Húmedo)"
"CA01070100001B",NA,NA,NA,NA
"CA011307000013",NA,0.732809465096054,0.468986319427544,"BAJA (Cultivo Sano/Húmedo)"
"CA011307000019",NA,0.826203762621544,0.690862900078838,"BAJA (Cultivo Sano/Húmedo)"
"CA01062800006A",NA,NA,NA,NA
"CA011771000003",NA,NA,NA,NA
"CA01177100006B",NA,NA,NA,NA
"CA011771000007",NA,NA,NA,NA
"CA011771000009",NA,NA,NA,NA
"CA011771000011",NA,NA,NA,NA
"CA011171000001",NA,NA,NA,NA
"CA010628000003",NA,NA,NA,NA
"CA011533000001",NA,NA,NA,NA
"CA012076000070",NA,NA,NA,NA
"CA011207000042",NA,NA,NA,NA
"CA010451000006",NA,NA,NA,NA
"CA010963000081",NA,NA,NA,NA
"CA010301000930",NA,NA,NA,NA
"CA012118000001",NA,NA,NA,NA
"CA01160000004C",NA,NA,NA,NA
"CA011665000007",NA,NA,NA,NA
"CA011285000001",NA,NA,NA,NA
"CA01063800004A",NA,NA,NA,NA
"CA010733000005",NA,NA,NA,NA
"CA01135300001A",NA,NA,NA,NA
"CA01165500008A",NA,NA,NA,NA
"CA01070100002A",NA,NA,NA,NA
"CA011665000008",NA,NA,NA,NA
"CA010628000009",NA,NA,NA,NA
"CA010628000012",NA,NA,NA,NA
"CA010637000004",NA,NA,NA,NA
"CA01044300003A",NA,NA,NA,NA
"CA010522000001",NA,NA,NA,NA
"CA011665000001",NA,NA,NA,NA
"CA011665000003",NA,NA,NA,NA
"CA011665000004",NA,NA,NA,NA
"CA011665000005",NA,NA,NA,NA
"CA011665000006",NA,NA,NA,NA
"CA011665000009",NA,NA,NA,NA
"CA011665000010",NA,NA,NA,NA
"CA01160000004A",NA,NA,NA,NA
"CA011470000002",NA,NA,NA,NA
"CA011037000005",NA,NA,NA,NA
"CA011037000010",NA,NA,NA,NA
"CA01103700009A",NA,NA,NA,NA
"CA010667000001",NA,NA,NA,NA
"CA010303000008",NA,NA,NA,NA
"CA011186000057",NA,NA,NA,NA
"CA01017300003A",NA,NA,NA,NA
"CA012076000010",NA,NA,NA,NA
"CA012076000010",NA,NA,NA,NA
"CA011037000008",NA,NA,NA,NA
"CA011307000015",NA,0.675546636566531,0.448930200760171,"BAJA (Cultivo Sano/Húmedo)"
"CA010304000111",NA,NA,NA,NA
"CA010667000009",NA,NA,NA,NA
"CA011873000001",NA,NA,NA,NA
"CA011541000020",NA,NA,NA,NA
"CA012076000020",NA,NA,NA,NA
"CA012076000040",NA,NA,NA,NA
"CA011882000039",NA,NA,NA,NA
"CA011882000037",NA,NA,NA,NA
"CA010304000106",NA,NA,NA,NA
"CA010494000001",NA,NA,NA,NA
"CA01049400001A",NA,NA,NA,NA
"CA011307000020",NA,0.636129384355016,0.350452166898861,"BAJA (Cultivo Sano/Húmedo)"
"CA01098500004A",NA,NA,NA,NA
"CA010451000004",NA,NA,NA,NA
"CA010451000005",NA,NA,NA,NA
"CA010451000001",NA,NA,NA,NA
"CA01030400105C",NA,NA,NA,NA
"CA01030400105A",NA,NA,NA,NA
"CA010552000001",NA,NA,NA,NA
"CA011600000004",NA,NA,NA,NA
"CA010638000005",NA,NA,NA,NA
"CA010628000010",NA,NA,NA,NA
"CA01013000024A",NA,NA,NA,NA
"CA011605000001",NA,NA,NA,NA
"CA011541000010",NA,NA,NA,NA
"CA01042400003A",NA,NA,NA,NA
"CA010740000003",NA,NA,NA,NA
"CA010628000013",NA,NA,NA,NA
"CA010798000002",NA,NA,NA,NA
"CA011307000012",NA,NA,NA,NA
"CA011307000014",NA,0.650689722199166,0.583822713232021,"BAJA (Cultivo Sano/Húmedo)"
"CA01130700017B",NA,0.841678512911883,0.717090515627726,"BAJA (Cultivo Sano/Húmedo)"
"CA010726000001",NA,NA,NA,NA
"CA01010100403A",NA,NA,NA,NA
"CA010913000002",NA,NA,NA,NA
"CA01221300016A",NA,NA,NA,NA
"CA011891000007",NA,NA,NA,NA
"CA011891000005",NA,NA,NA,NA
"CA010451000002",NA,NA,NA,NA
"CA01070100001A",NA,NA,NA,NA
"CA01014100104A",NA,NA,NA,NA
"CA01030100921A",NA,NA,NA,NA
"CA010301000923",NA,NA,NA,NA
"CA011285000002",NA,NA,NA,NA
"CA011898000001",NA,NA,NA,NA
"CA01011000002A",NA,NA,NA,NA
"CA012076000030",NA,NA,NA,NA
"CA01207600070B",NA,NA,NA,NA
"CA012076000050",NA,NA,NA,NA
"CA010749000001",NA,NA,NA,NA
"CA01010100402B",NA,NA,NA,NA
"CA010280000008",NA,NA,NA,NA
"CA01079800004B",NA,NA,NA,NA
"CA01079800004A",NA,NA,NA,NA
"CA010164000003",NA,NA,NA,NA
"CA011891000008",NA,NA,NA,NA
"CA011891000006",NA,NA,NA,NA
"CA011891000009",NA,NA,NA,NA
"CA011891000001",NA,NA,NA,NA
"CA011891000002",NA,NA,NA,NA
"CA011891000004",NA,NA,NA,NA
"CA011004000001",NA,NA,NA,NA
"CA011286000003",NA,NA,NA,NA
"CA011286000001",NA,NA,NA,NA
"CA011504000005",NA,NA,NA,NA
"CA011504000006",NA,NA,NA,NA
"CA011891000003",NA,NA,NA,NA
"CA01063800006A",NA,NA,NA,NA
"CA010638000007",NA,NA,NA,NA
"CA01063800007B",NA,NA,NA,NA
"CA010034000003",NA,NA,NA,NA
"CA011226000001",NA,NA,NA,NA
"CA01120700036D",NA,NA,NA,NA
"CA01049400001C",NA,NA,NA,NA
"CA01049400001D",NA,NA,NA,NA
"CA011666000001",NA,NA,NA,NA
"CA011435000001",NA,NA,NA,NA
"CA010625000002",NA,NA,NA,NA
"CA010625000001",NA,NA,NA,NA
"CA010625000003",NA,NA,NA,NA
"CA010625000005",NA,NA,NA,NA
"CA011690000001",NA,NA,NA,NA
"CA01003400006A",NA,NA,NA,NA
"CA010628000002",NA,NA,NA,NA
"CA01030200909A",NA,NA,NA,NA
"CA010899000001",NA,NA,NA,NA
"CA011424000002",NA,NA,NA,NA
"CA011424000001",NA,NA,NA,NA
"CA011504000003",NA,NA,NA,NA
"CA010598000001",NA,NA,NA,NA
"CA010733000009",NA,NA,NA,NA
"CA010973000002",NA,NA,NA,NA
"CA011331000003",NA,NA,NA,NA
"CA010280000010",NA,NA,NA,NA
"CA010250000017",NA,NA,NA,NA
"CA010726000002",NA,NA,NA,NA
"CA010947000001",NA,NA,NA,NA
"CA01224100007A",NA,NA,NA,NA
"CA01030300022T",NA,NA,NA,NA
"CA01013900004A",NA,NA,NA,NA
"CA010324000001",NA,NA,NA,NA
"CA011307000022",NA,0.695718515597478,0.421840783805311,"BAJA (Cultivo Sano/Húmedo)"
"CA011307000015",NA,0.615437199825173,0.330332116643516,"BAJA (Cultivo Sano/Húmedo)"
"CA011307000022",NA,0.683718367688646,0.43778250464788,"BAJA (Cultivo Sano/Húmedo)"
"CA011922000002",NA,NA,NA,NA
"CA010628000008",NA,NA,NA,NA
"CA011226000002",NA,NA,NA,NA
