"COD_HDA_KEY","HDA_LABEL","INGENIO_FULL","MUNICIPIO","CORREGIMIENTO","CATEGORIA_ALERTA","FECHA_VISITA","RADICADO"
"MY_000128","Santa MarA!a_128","MAYAGÜEZ","Candelaria","El Lauro","Alerta Inminente","",""
"MY_000133","California Bolo_133","MAYAGÜEZ","Palmira","Bolo - San Isidro","Alerta Inminente","",""
"MY_000142","Rio Fraile (Diego DomA!nguez)_142","MAYAGÜEZ","Candelaria","La Regina","Alerta Inminente + Focalización Operativa","",""
"MY_000163","La Generala_163","MAYAGÜEZ","Florida","San Antonio de los Caballeros","Alerta Inminente","",""
"MY_000187","Niagara_187","MAYAGÜEZ","Candelaria","San Joaquin","Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"MY_000188","El Nilo - Francisco J. GonzA lez_188","MAYAGÜEZ","Candelaria","Villa Gorgona","Alerta Inminente","",""
"MY_000195","Valladolid_195","MAYAGÜEZ","Candelaria","Buchitolo","Alerta Inminente","",""
"MY_000211","Las Ama?sricas_211","MAYAGÜEZ","Candelaria","Villa Gorgona","Alerta Inminente + Focalización Operativa","",""
"MY_000242","Zainera Muzzulini_242","MAYAGÜEZ","Candelaria","Madrevieja","Alerta Inminente","",""
"MY_000272","La Chica Gaviria_272","MAYAGÜEZ","Palmira","Caucaseco","Alerta Inminente + Focalización Operativa","",""
"MY_000274","La Casilda_274","MAYAGÜEZ","Florida","El Pedregal","Alerta Inminente + Focalización Operativa","",""
"MY_000302","Brisuelas_302","MAYAGÜEZ","El Cerrito","Santa Helena","Focalización Operativa","",""
"MY_000303","San Josa?s de Nima_303","MAYAGÜEZ","Palmira","Tienda Nueva","Alerta Inminente","",""
"MY_000384","El Retiro_384","MAYAGÜEZ","Florida","El Remolino","Alerta Inminente + Focalización Operativa","",""
"MY_000417","La Chica Jaramillo_417","MAYAGÜEZ","Palmira","Guanabanal","Alerta Inminente","",""
"MY_000444","San Marcos_444","MAYAGÜEZ","Candelaria","Cabuyal","Alerta Inminente","",""
