"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"CC_000747",NA,NA,"EL COFRE_0747","CENTRAL CASTILLA","Pradera","La Granja","3.3825, -76.2621","Alerta Inminente + Focalización Operativa","5, 7"
"CC_000761",NA,NA,"LA FLORESTA_0761","CENTRAL CASTILLA","Pradera","La Floresta","3.4204, -76.2313","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"CC_000768",NA,NA,"PISAMOS_0768","CENTRAL CASTILLA","Florida","Chococito","3.2973, -76.2359","Alerta Inminente","2, 3, 7"
"CC_000780",NA,NA,"BELGICA_0780","CENTRAL CASTILLA","Florida","El Remolino","3.2986, -76.2879","Alerta Inminente","7"
"CC_000784",NA,NA,"REY 2_0784","CENTRAL CASTILLA","Florida","La Diana","3.324, -76.2109","Alerta Inminente","3, 4, 7"
"CC_002105",NA,NA,"SAN RAFAEL_2105","CENTRAL CASTILLA","Pradera","La Tupia","3.3947, -76.2996","Alerta Boletín Histórico","2"
"CC_002110",NA,NA,"CALANDA_2110","CENTRAL CASTILLA","Florida","El Remolino","3.3219, -76.2814","Alerta Boletín Histórico","2"
"ML_000203",NA,NA,"LA SEXTA_000203","MARIA LUISA","Candelaria","Madrevieja","3.4341, -76.3429","Alerta Inminente","4, 7"
"ML_000204",NA,NA,"LA GUACA I_000204","MARIA LUISA","Candelaria","Arenal","3.4038, -76.3529","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"ML_000206",NA,NA,"LA GUACA II_000206","MARIA LUISA","Candelaria","Arenal","3.4089, -76.3665","Alerta Inminente","7"
"ML_000207",NA,NA,"LA GUACA III_000207","MARIA LUISA","Candelaria","El Lauro","3.4113, -76.3735","Alerta Boletín Histórico + Focalización Operativa","4, 5, 6"
"ML_000502",NA,NA,"INGENIO_000502","MARIA LUISA","Florida","San Antonio de los Caballeros","3.3395, -76.282","Focalización Operativa + Alerta Inminente + Ficha Técnica Regional","2, 3, 4, 5, 6"
"ML_000503",NA,NA,"CENTRO_000503","MARIA LUISA","Florida","San Antonio de los Caballeros","3.3333, -76.2729","Alerta Inminente + Focalización Operativa","2, 3, 4"
"ML_000504",NA,NA,"LA ISLA_000504","MARIA LUISA","Florida","El Remolino","3.3305, -76.2903","Alerta Inminente","6, 7"
"ML_000505",NA,NA,"MOSCU_000505","MARIA LUISA","Florida","El Remolino","3.3514, -76.3033","Alerta Inminente","4, 5, 7"
"ML_000506",NA,NA,"REMOLINOS_000506","MARIA LUISA","Florida","El Remolino","3.3238, -76.3035","Alerta Inminente","2, 3, 4, 5, 7"
"MN_000002",NA,NA,"PORVENIR_002","MANUELITA","Palmira","Boyaca","3.6114, -76.2618","Alerta Boletín Histórico + Focalización Operativa + Ficha Técnica Regional","2, 3, 4, 5, 6"
"MN_000003",NA,NA,"RITA_003","MANUELITA","Palmira","Zamorano","3.5774, -76.266","Alerta Inminente","2"
"MN_000004",NA,NA,"GERTRUDIS_004","MANUELITA","Palmira","Amaime","3.5934, -76.2834","Alerta Boletín Histórico + Focalización Operativa + Ficha Técnica Regional","2, 3, 4, 5, 6"
"MN_000005",NA,NA,"ROSARIO_005","MANUELITA","Palmira","Amaime","3.5884, -76.2981","Alerta Inminente","2, 7"
"MN_000008",NA,NA,"CASCAJAL_008","MANUELITA","Palmira","Zamorano","3.5653, -76.3126","Alerta Inminente","2, 3, 4, 5, 6, 7"
"MN_000009",NA,NA,"HACIENDA REAL_009","MANUELITA","Palmira","Rozo","3.5968, -76.3291","Focalización Operativa","2"
"MN_000010",NA,NA,"OLGA_010","MANUELITA","Palmira","Rozo","3.6139, -76.3587","Alerta Inminente + Focalización Operativa","5, 7"
"MN_000011",NA,NA,"SOLEDAD 4_011","MANUELITA","Palmira","Rozo","3.6108, -76.3771","Alerta Boletín Histórico + Alerta Inminente","5"
