"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CA011419",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011439",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011473",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011494",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011501",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011547",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011550",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011574",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011594",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011595",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011613",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011645",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011658",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011676",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011685",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011732",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011749",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011806",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011808",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011809",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011827",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011834",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011842",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011843",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011852",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011862",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011864",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011901",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011920",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011923",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011950",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011974",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011983",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011987",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011990",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
