Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Castilla,AVELINA,035,Pradera,La Granja,CC000503000035,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,CALANDA,220,Florida,Remolino,CC000110000220,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CHUNE,034,Pradera,La Tupia,CC000138000034,PRADERA,CC000138,True,CHUNE,SURORIENTE
Castilla,OCASIONAL MAYAGUEZ EL CARMEN,029,Florida,El Pedregal,CC000962000029,FLORIDA,CC000962,True,OCASIONAL MAYAGUEZ EL CARMEN,SURORIENTE
Castilla,CASTILLA,130,Pradera,La Granja,CC000506000130,PRADERA,CC000506,True,CASTILLA,SURORIENTE
Castilla,OCASIONAL MAYAGUEZ EL CARMEN,033,Florida,El Pedregal,CC000962000033,FLORIDA,CC000962,True,OCASIONAL MAYAGUEZ EL CARMEN,SURORIENTE
Castilla,AVELINA,201,Pradera,La Granja,CC000503000201,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,OCASIONAL EL PALMAR,170,Candelaria,El Tiple,CC000107000170,CANDELARIA,CC000107,True,OCASIONAL EL PALMAR,SURORIENTE
Castilla,CALANDA,092,Florida,Remolino,CC000110000092,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,202,Florida,Remolino,CC000110000202,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,LA UNION,060,Florida,Remolino,CC000117000060,FLORIDA,CC000117,True,LA UNION,SURORIENTE
Castilla,CALANDA,020,Florida,Remolino,CC000110000020,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CASTILLA,160,Pradera,La Granja,CC000506000160,PRADERA,CC000506,True,CASTILLA,SURORIENTE
Castilla,DAEL,040,Pradera,La Tupia,CC000444000040,PRADERA,CC000444,True,DAEL,SURORIENTE
Castilla,CHUNE,010,Pradera,La Tupia,CC000138000010,PRADERA,CC000138,True,CHUNE,SURORIENTE
Castilla,LA UNION,062,Florida,Remolino,CC000117000062,FLORIDA,CC000117,True,LA UNION,SURORIENTE
Castilla,CALANDA,024,Florida,Remolino,CC000110000024,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,022,Florida,Remolino,CC000110000022,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Castilla,CALANDA,026,Florida,Remolino,CC000110000026,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Manuelita,ROSARIO SEEMAN 2,2,El Cerrito,San Antonio,MN000332000002,EL CERRITO,MN000332,True,ROSARIO SEEMAN,SURORIENTE
Manuelita,ROSARIO SEEMAN 2,3,El Cerrito,San Antonio,MN000332000003,EL CERRITO,MN000332,True,ROSARIO SEEMAN,SURORIENTE
Manuelita,SEMILLAS VALLE,1,El Cerrito,Santa Elena,MN000467000001,EL CERRITO,MN000467,True,SEMILLAS VALLE,CENTRO SUR
Providencia,LA AURORA,115B,El Cerrito,nd,PR08010300115B,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,LA MERCED CHAYA-CABA,001B,El Cerrito,nd,PR08060500001B,EL CERRITO,PR080605,True,LA MERCED CHAYA-CABA,CENTRO SUR
Providencia,EL RANCHO EMPRESA,001C,El Cerrito,nd,PR08013000001C,EL CERRITO,PR080130,True,EL RANCHO EMPRESA,SURORIENTE
Providencia,EL JARDIN,129,El Cerrito,nd,PR080126000129,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
